Rank,   Word,,,
1,   the,,,
2,   be,,,
3,   and,,,
4,   of,,,
5,   a,,,
6,   in,,,
7,   to,,,
8,   have,,,
9,   it,,,
10,   I,,,
11,   that,,,
12,   for,,,
13,   you,,,
14,   he,,,
15,   with,,,
16,   on,,,
17,   do,,,
18,   say,,,
19,   this,,,
20,   they,,,
21,   at,,,
22,   but,,,
23,   we,,,
24,   his,,,
25,   from,,,
26,   not,,,
27,   n't,,,
28,   by,,,
29,   she,,,
30,   or,,,
31,   as,,,
32,   what,,,
33,   go,,,
34,   their,,,
35,   can,,,
36,   who,,,
37,   get,,,
38,   if,,,
39,   would,,,
40,   her,,,
41,   all,,,
42,   my,,,
43,   make,,,
44,   about,,,
45,   know,,,
46,   will,,,
47,   up,,,
48,   one,,,
49,   time,,,
50,   there,,,
51,   year,,,
52,   so,,,
53,   think,,,
54,   when,,,
55,   which,,,
56,   them,,,
57,   some,,,
58,   me,,,
59,   people,,,
60,   take,,,
61,   out,,,
62,   into,,,
63,   just,,,
64,   see,,,
65,   him,,,
66,   your,,,
67,   come,,,
68,   could,,,
69,   now,,,
70,   than,,,
71,   like,,,
72,   other,,,
73,   how,,,
74,   then,,,
75,   its,,,
76,   our,,,
77,   two,,,
78,   more,,,
79,   these,,,
80,   want,,,
81,   way,,,
82,   look,,,
83,   first,,,
84,   also,,,
85,   new,,,
86,   because,,,
87,   day,,,
88,   use,,,
89,   no,,,
90,   man,,,
91,   find,,,
92,   here,,,
93,   thing,,,
94,   give,,,
95,   many,,,
96,   well,,,
97,   only,,,
98,   those,,,
99,   tell,,,
100,   very,,,
101,   even,,,
102,   back,,,
103,   any,,,
104,   good,,,
105,   woman,,,
106,   through,,,
107,   us,,,
108,   life,,,
109,   child,,,
110,   work,,,
111,   down,,,
112,   may,,,
113,   after,,,
114,   should,,,
115,   call,,,
116,   world,,,
117,   over,,,
118,   school,,,
119,   still,,,
120,   try,,,
121,   last,,,
122,   ask,,,
123,   need,,,
124,   too,,,
125,   feel,,,
126,   three,,,
127,   state,,,
128,   never,,,
129,   become,,,
130,   between,,,
131,   high,,,
132,   really,,,
133,   something,,,
134,   most,,,
135,   another,,,
136,   much,,,
137,   family,,,
138,   own,,,
139,   leave,,,
140,   put,,,
141,   old,,,
142,   while,,,
143,   mean,,,
144,   keep,,,
145,   student,,,
146,   why,,,
147,   let,,,
148,   great,,,
149,   same,,,
150,   big,,,
151,   group,,,
152,   begin,,,
153,   seem,,,
154,   country,,,
155,   help,,,
156,   talk,,,
157,   where,,,
158,   turn,,,
159,   problem,,,
160,   every,,,
161,   start,,,
162,   hand,,,
163,   might,,,
164,   American,,,
165,   show,,,
166,   part,,,
167,   against,,,
168,   place,,,
169,   such,,,
170,   again,,,
171,   few,,,
172,   case,,,
173,   week,,,
174,   company,,,
175,   system,,,
176,   each,,,
177,   right,,,
178,   program,,,
179,   hear,,,
180,   question,,,
181,   during,,,
182,   play,,,
183,   government,,,
184,   run,,,
185,   small,,,
186,   number,,,
187,   off,,,
188,   always,,,
189,   move,,,
190,   night,,,
191,   live,,,
192,   Mr,,,
193,   point,,,
194,   believe,,,
195,   hold,,,
196,   today,,,
197,   bring,,,
198,   happen,,,
199,   next,,,
200,   without,,,
201,   before,,,
202,   large,,,
203,   million,,,
204,   must,,,
205,   home,,,
206,   under,,,
207,   water,,,
208,   room,,,
209,   write,,,
210,   mother,,,
211,   area,,,
212,   national,,,
213,   money,,,
214,   story,,,
215,   young,,,
216,   fact,,,
217,   month,,,
218,   different,,,
219,   lot,,,
220,   study,,,
221,   book,,,
222,   eye,,,
223,   job,,,
224,   though,,,
225,   business,,,
226,   issue,,,
227,   side,,,
228,   kind,,,
229,   four,,,
230,   head,,,
231,   far,,,
232,   black,,,
233,   long,,,
234,   both,,,
235,   little,,,
236,   house,,,
237,   yes,,,
238,   since,,,
239,   provide,,,
240,   service,,,
241,   around,,,
242,   friend,,,
243,   important,,,
244,   father,,,
245,   sit,,,
246,   away,,,
247,   until,,,
248,   power,,,
249,   hour,,,
250,   game,,,
251,   often,,,
252,   yet,,,
253,   line,,,
254,   political,,,
255,   end,,,
256,   among,,,
257,   ever,,,
258,   stand,,,
259,   bad,,,
260,   lose,,,
261,   however,,,
262,   member,,,
263,   pay,,,
264,   law,,,
265,   meet,,,
266,   car,,,
267,   city,,,
268,   almost,,,
269,   include,,,
270,   continue,,,
271,   set,,,
272,   later,,,
273,   community,,,
